# Taken from available data in ASDC infrared search
# wave flux err
1.249  61.4 1.49
1.6472 77.2 2.02
2.1725 76.4 2.58
3.3571 43.6 4.02
3.5436 45.3 4.17
4.4879 41.5 3.82
4.6051 38.9 3.58
5.7103 113.0 10.4
5.9958 69.3  NaN
7.848  314.0 28.9
7.9945 500.0 25.0
11.803 497.0 45.8
14.989 1120.0 NaN
19.986 2145.0 NaN
22.207 3860.0 355.0
23.421 5570.0 513.0
24.983 9600.0 NaN
24.982 8000.0 34.0
30.009 22900.0 NaN
59.9585 104000. 112.0
99.931 115000.0 138.0
249.83 30100.0 1500.0
349.82 11700.0 600.0
499.65 3900.0 200.0
849.27 456.0 46.9
